03月31日23:07,,小烊烊啦,根本不想学习了#每天啥都不想干怎么办#,[],7270984155,LmktIfE0F
03月30日17:00,来自新版微博weibo.com,中国银联,#每天啥都不想干怎么办#监控拆掉，正在侧躺着给手机充电盯着屏幕傻笑的扣个1~阿联猜会有_____朵银耳#银耳碎碎念#,['[doge]'],1834790094,Lm8DUbXiF
03月30日10:30,来自微博weibo.com,中国银联95516,#62闲话铺##每天啥都不想干怎么办#人生无常，大肠包小肠，不如我们躺平吧开玩笑开玩笑，大家在休息日一般会做些什么呢~,['[揣手]'],2087764093,Lm65AcHZJ
03月29日12:02,来自iPhone客户端,牙医姜原,病例54.前牙邻面龋#补牙##每天啥都不想干怎么办#侧切牙根尖有阴影2赣州,[],6241119989,LlXgOtCEq
03月29日11:45,来自微博搜索,有病早点看医生,#每天啥都不想干怎么办#这种情况我也还是比较焦虑，最近想了个法子，背书。然后发现真背不了多少。适合不想用脑，不知道做啥，又不想脑子完全废掉。,[],1463626892,LlX9LrGi7
03月27日19:03,来自iPhone客户端,王益达wdd,#校园生活##日常碎片plog##生活碎片##每天啥都不想干怎么办#校园生活2宿迁·宿迁学院,[],5312576399,LlHaq0Azi
03月26日16:06,来自iPhone客户端,小燕子尘烟,被这钢筋混凝土的城市困住了……#每天啥都不想干怎么办#,[],6342538697,LlwA7c6vi
03月26日15:30,来自OPPOReno65G,乞活·,#每天啥都不想干怎么办#不想干不想干不想,[],7735508553,Llwlp02ls
03月26日12:15,来自咖啡时间超话,庄小贪,咖啡时间月薪低于三千的我，除了穷开心，还能怎么样呢？#月薪三千应该感到满足吗##手冲咖啡##每天啥都不想干怎么办#2北京,[],1492699664,Llv4xtpis
03月23日11:11,来自吃不胖的Android,玩物x艾克斯,“在你力能所及的范围活的尽兴一点”#每天啥都不想干怎么办##年轻人为什么睡不好#2兰州,[],3135347071,Ll2n1BDS0
03月22日23:55,,小烊烊啦,月亮不睡我不睡我是秃头小宝贝#这届年轻人为什么睡不着##每天啥都不想干怎么办#,[],7270984155,LkXWmCww5
03月20日00:09,来自微博视频号,葱油饼不带葱,布加迪威龙，听说你有个110限量10台，要不要送我一辆？#拯救不开心##每天啥都不想干怎么办##你手机里最后一张照片是什么#L葱油饼不带葱的微博视频,[],1747583281,LkvKSr6tp
03月19日21:41,来自iPhone客户端,牙医姜原,病例53.窝沟龋#补牙##每天啥都不想干怎么办#2赣州,[],6241119989,LkuMGolkl
03月19日18:23,来自新版微博weibo.com,号1628637282627276,关于在#潭州教育#线上学习的感受与思考。说实话，这个课程还挺适合我这种上班族的，想什么时候学就什么时候学，一转眼居然已经坚持学习快一周了，原来下班后的时间也可以如此充实呢！#每天啥都不想干怎么办#,[],6449266194,Lktuty8n5
03月19日13:39,来自新版微博weibo.com,妧妧525,#每天啥都不想干怎么办#虽然原画学习有一定的难度，但是在#潭州教育#讲师的带领下，我有信心学好它。,[],1805450593,LkrD4xGFz
03月18日23:30,来自iPhone客户端,王益达wdd,封校日记今天的核酸，羽毛球，钢琴课#每天啥都不想干怎么办##日常碎片plog##生活碎片#2宿迁·宿迁学院,[],5312576399,Lkm4t0KBI
03月18日21:01,来自摄影超话,路深鹿,#每天啥都不想干怎么办#路过数码配件，想买一个相机读卡器我：老板，有读卡器吗？老板：我找找，嗯……还有一个，你要吗？我：要，老板多少钱？老板：80元我：？？这么贵了？刚说完～老板：15给你了我：你说多少？老板：15我：是15吗？老板：是的，扫码在桌上……,"['[允悲]', '[允悲]']",5068828421,Lkl64a1Ny
03月18日16:36,来自微博weibo.com,科龙空调,#每天啥都不想干怎么办#也许不是你的锅，是空气的错！当空气中二氧化碳浓度超标时，人体会感觉浑身乏力、精神不振，#科龙增氧新风空调KL#急速新风系统，将室内混浊空气排出，不断引进新鲜空气，保障家人呼吸健康，关窗也能享受新鲜空气！#年轻就要潮出色#,"['[费解]', '[裂开]', '[微风]', '[打call]']",1902734354,LkjmbrJ1T
03月18日14:19,来自新版微博weibo.com,任小重520,#每天啥都不想干怎么办#平时在家手机玩多了，整个人都是废材，突然一搞学习，还有点不适应呢，但是结果是好的就行。第一次下定决心学习绘画之后，真的感谢#潭州教育#给我的改变，让我从一个无所事事的人变成一个会画画而且努力上进的人！如果平时在家无聊的话也来潭州教育学习一下吧！展开c,[],5297152698,LkisFenRv
03月18日13:25,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#是呀我现在越来越懒了尤其是在在家里什么都不想干怎么办呢,[],7542760375,Lki6Yq8D6
03月17日11:58,来自RedmiK20Pro尊享版,葱油饼不带葱,【西葫芦酿肉】材料：西葫芦1根、猪肉200克、鸡蛋2个、盐适量、胡萝卜1段、葱1段、姜1片、料酒1/2汤匙、生抽1汤匙、胡椒粉1茶匙、做法：1.准备好所需材料，西葫芦洗净，胡萝卜去皮洗净。2.将猪肉剁成肉泥。3.将猪肉泥放在大碗中，加入葱末，姜末，胡椒粉，料酒，盐搅拌均匀待用。4.将西葫芦切展开c,[],1747583281,Lk86Wq2Sb
03月17日04:14,来自点评,我真的没想好_,#每天啥都不想干怎么办#比如我现在就不想睡觉,[],7455872298,Lk54Fj128
03月16日23:23,来自HUAWEIMate40,木你嘿,#每天啥都不想干怎么办#《当耙耙柑遇见耙耙柑》,[],6343189641,Lk3azyAcZ
03月16日18:54,转赞人数超过30来自悪役令嬢のiPhone11Pro,龍宮輝夜,车专+扌由给两个幸运鹅送以下各一包日常好吃的小零食！低糖的黑芝麻丸子，配料简单健康：就是黑芝麻丸+麦芽糖醇液。颗颗可以看得到上面的黑芝麻颗粒，粒粒醇香有嚼劲，清甜不腻。而且是独立袋装，一丸一袋，分量合适。猪肉脯是蜜汁口味的，而且是厚切大约2mm，会比一般的猪肉铺更厚展开c,"['[送花花]', '[送花花]']",3783157493,Ljo46lPgj
03月16日11:43,,沐森君,#每天啥都不想干怎么办#印太多的人容易有拖延症，想的太多，干的太少，无限焦虑内耗，还有的就是要做的事情太多，需要别人配合，又没有太明确的进度规划，索性就拖着了，反正一个人干不完。身体精力跟不上，头脑飞快奔跑，印多缺乏财官的人行动力差。身体容易累，只能干轻活，但查不出来具体病，就展开c,[],6758365451,LjYAs9byo
03月16日09:15,来自iPhone客户端,草莓味vink,就是说为啥这么爱摆烂【苦涩】每天啥都不想干怎么办哦,[],2645338714,LjXCpbAxJ
03月16日07:59,来自RedmiK20Pro尊享版,葱油饼不带葱,荞面蒸卷把和好的荞面擀成小长条状，放入油、葱沫、盐、花椒沫、层层叠起，再擀成薄厚均匀的长条状，放入锅内用文火烙成两面金黄色，鼓起即熟，入口酥脆，五香味全。#每天啥都不想干怎么办##厨艺教程##创意美食#,[],1747583281,LjX7t9gBs
03月16日07:59,来自RedmiK20Pro尊享版,葱油饼不带葱,拨面虽与面条大体相同，但做法不同。面条是和面擀薄用刀切，而拨面时用的刀是两端各有一柄，面板一尺多宽、二尺多长。切面时用腹部将面板顺着挤在锅沿处，把面剂子擀薄后，两手握两端刀饼快速挤切，边切边拨入锅内煮熟，由于作法特殊，因此，制作出的食品另有一种风味。#每天啥都不想干怎么办#展开c,[],1747583281,LjX7mqTLv
03月16日07:54,,有梦不觉累阿,#每天啥都不想干怎么办#3月16日多云18～27℃早上好，摸鱼人！【昨日总结】早上起来收拾完就去面试了，然而走错了地方，人家在一区我走到了三区招聘上写的5-8k人家最多给5k，就他妈离谱！起床今天有两个面试，收拾收拾出发距离本周周末还有3天距离清明节假期还有18天距离劳展开c,"['[笑而不语]', '[酷]']",5363726292,LjX5BoIKC
03月16日00:04,来自RedmiK20Pro尊享版,葱油饼不带葱,简单凉粉　　食材：50g玉米淀粉、适量油、适量盐、适量芝麻油、适量蒜、1个红辣椒、适量香菜、适量醋、适量生抽、适量凉开水。　　做法：　　1、玉米淀粉放碗里；　　2、加适量水，搅拌成淀粉糊糊；　　3、锅内放200毫升水，烧开，下淀粉糊糊下去搅拌；　　4、搅拌好的凉粉放碗里用勺子压展开c,[],1747583281,LjU0CmR24
03月15日16:29,转赞人数超过100来自iPhoneXSMax,二宫占星,女人财富最大的阻碍是恐惧和焦虑，把事情都聚集在自己身上，让浑身都紧绷劳累。女人的财富是吸引来的，抓住重点，其余的都分出去。抓得越紧，财富越少。#每天啥都不想干怎么办#,[],7411346650,LjQ1CyFLP
03月15日15:04,来自HUAWEIP20,羊咩咩本尊大侠,#每天啥都不想干怎么办#不知道干什么，想躺平2福州·旗山高校教师公寓,[],2843039535,LjQtFc1HE
03月15日14:08,来自新版微博weibo.com,妧妧525,#每天啥都不想干怎么办##潭州教育#的老师讲的内容非常实用，要想获得长远发展，一定要不停的扩充自己的知识面。,[],1805450593,LjQ6SbEN6
03月15日13:16,来自新版微博weibo.com,修正生活,#每天啥都不想干怎么办#在#潭州教育#，不忘热爱配音的初心。无论在哪个年龄，都要勇敢追逐梦想。在追求艺术的路上，永远都没有借口，热爱才是每个人最好的讲师。,[],6189342999,LjPLxuQGT
03月15日10:48,来自情感超话,打开眼界,#像极了我作为普通人的日常#上了大学下次一定#每天啥都不想干怎么办#L打开眼界的微博视频,['[跪了]'],2474841654,LjONIeuDF
03月15日08:51,转赞人数超过10来自日常超话,-我就跟你抢辣条,拍摄花絮每日一问:有没有宝子想来菊厂做实习生呀！！来了姐姐带你们玩！#每天啥都不想干怎么办##写真##打工人#日常2北京,[],6058125557,LjG7fd2PW
03月14日23:47,来自iPhone客户端,璐子好孩子,#每天啥都不想干怎么办#开始摆烂不想学习描红好好玩,"['[伤心]', '[思考]']",6371920694,LjKtt61F7
03月14日23:04,来自iPhone客户端,娟shmily欧耶,#每天啥都不想干怎么办#现在是什么也干不了,"['[苦涩]', '[苦涩]']",3908117599,LjKc4dgn8
03月14日21:26,转赞人数超过20来自微博视频号,眼整形医生刘志刚,接受《法制晚报》采访视频第二片段，在录制之前我就在想，能不能尽量用通俗的话给大家讲解明白我的双眼皮手术理念及方法，主持人开玩笑说她听完我的讲解后，她可以当专家了在这段里讲了下我做双眼皮修复手术这些年的经历和一些算是“行业内幕”吧，视频最后说了些心里话，真的帮助到有失败双眼皮展开c,['[哈哈]'],2517401373,Ljyp31qxV
03月14日19:43,,cc是不倒翁,#每天啥都不想干怎么办#正好最近也经历了一小段时间的颓丧，所以看到这个话题时，一下子就想起了之前那些小挣扎的时刻。相信每个人都有过状态不佳的时候，比如明明有好多事想去做，但却一直拖着。所以我们不妨把这个话题换成：当你状态不好的时候，该怎么调整？在这里也分享几个tips：①做一展开c,[],5594226214,LjISt2R5e
03月14日18:39,来自iPhone客户端,杨九妞儿_127,#每天啥都不想干怎么办#那就去闻一闻花香，看一看春天,['[心]'],5288279368,LjIsgrY0z
03月14日17:13,来自扑腾的咸鱼iPhoneX,HAE帽帽,#每天啥都不想干怎么办#摆烂摆烂摆烂,[],1768266924,LjHTnv9VL
03月14日15:16,转赞人数超过40来自微博国际版,一凡爱的艺术,#每天啥都不想干怎么办#承认接受这就是自己的人生。,[],1892013711,LjEcKaDpX
03月14日15:00,来自微博weibo.com,星辉玩具,#星辉嘻游记#来一辆“懒人专用车”——MINI三合一折叠三轮车一键折叠，宝妈一手搞定小小踏板，宝宝轻松踩踏#每天啥都不想干怎么办#替宝妈们省心省力~,"['[星星]', '[星星]']",2067005103,LjH1f1Jib
03月14日12:24,转赞人数超过1万来自安宥ayu超话,安宥Ayu,每天都有在好好工作！#春季出街look#最近的温度真是叫人难以琢磨，真是在短短的一周感受了四季#每天啥都不想干怎么办#哈哈哈哈哈这个热搜是谁每天都想躺尸并发出灵魂一问安宥ayu,[],5819081816,LjyvZApIU
03月14日12:13,转赞人数超过20来自微博weibo.com,三铜钱,八字偏弱的人胆儿怕事，唯唯诺诺，患得患失，许多人问我，那弱的人能不能变强，很抱歉，不可能。这些骨子里的东西不会因为大运改变而改变，只能说你换了一个补强的大运，你这些缺点会稍微收敛一点，人变得稍微积极一点，有可能屌丝逆袭。弱的人就是要比强的人付出更多才能成功。为什么，你会觉得周围小展开c,[],2559751122,LjEU82xcZ
03月14日10:56,转赞人数超过10,萧全,#每天啥都不想干怎么办#虽然来自嗦粉大省广西，但我觉得除了桂林米粉和螺蛳粉这两支独秀，广西的米粉文化还有待挖掘和出圈。可以借鉴一下隔壁湖南，用国潮的方式来做米粉文化，在长沙，甚至有一条湖南米粉街。长沙麻辣牛肉粉、永州卤粉、邵阳牛肉粉、衡阳鱼粉、津市牛肉粉、郴州杀猪粉，还有各种各样展开c,[],1746459202,LjyKCnYq3
03月14日10:49,来自荣耀X105G,花花挣钱钱,#每天啥都不想干怎么办#就想当个尸体每天都想躺着可以吗,['[doge]'],5676807736,LjFnHvO4z
03月14日10:45,转赞人数超过30来自iPhone13Pro,是张彤玉啊,#每天啥都不想干怎么办##熬夜#发发日杂图2太原,['[憧憬]'],6175021756,Lj9S7ltan
03月14日08:00,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#现在发现自己越来越懒了妈妈我赶紧让我出去不想让我在家待,[],7542760375,LjEh2FjpS
03月14日07:25,来自微博搜索,张宏涛心理,#每天啥都不想干怎么办##自传写作班#那就回顾自己的过往人生，假定有一个摄像头，把你从出生到现在的所有经历都记录了下来，然后快进播放。这就是你的人生电影。你来看看这个电影叫什么名字合适？这个电影是喜剧，是悲剧，还是正剧，又或者是无聊剧？你就是电影里的绝对主角，和一号导演。电展开c,[],1237561161,LjE2Hds5t
